Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Recall_Mean,F1_Mean,Train_Acc_Mean
SVM,0.8031746031746032,0.03736064220933277,0.8231942740495372,0.807433364847158,0.8040345188881771,0.9563492063492063
RandomForest,0.7761904761904763,0.04500776786907248,0.8051571467747939,0.7415332304987476,0.757459006879177,0.9837301587301589
kNN,0.7714285714285716,0.04300386407664784,0.7504975213584679,0.7567414290690153,0.7443035433065958,0.9837301587301589
XGBoost,0.7714285714285714,0.03598661602779251,0.7473414547434155,0.7335402464712809,0.7336362853177381,0.9837301587301589
